Time - Measured Data 0-Load,TDMS Value - Measured Data 0-Load,Time - Measured Data 0-Pressure,TDMS Value 2 - Measured Data 0-Pressure,Time - Measured Data 0-LVDT2,TDMS Value 3 - Measured Data 0-LVDT2
56:06.5,344.942,56:06.5,62.3467,56:06.5,0.195339
56:06.6,344.856,56:06.6,62.2884,56:06.6,0.195478
56:06.7,344.913,56:06.7,62.4366,56:06.7,0.195413
56:06.8,344.903,56:06.8,62.3889,56:06.8,0.195296
56:06.9,344.894,56:06.9,62.3089,56:06.9,0.1945
56:07.0,344.911,56:07.0,62.298,56:07.0,0.195012
56:07.1,344.918,56:07.1,62.3536,56:07.1,0.195546
56:07.2,344.85,56:07.2,62.2659,56:07.2,0.195671
56:07.3,344.85,56:07.3,62.297,56:07.3,0.195488
56:07.4,344.771,56:07.4,62.2978,56:07.4,0.19566
56:07.5,344.881,56:07.5,62.4946,56:07.5,0.195266
56:07.6,344.894,56:07.6,62.3166,56:07.6,0.195237
56:07.7,344.808,56:07.7,62.4212,56:07.7,0.195038
56:07.8,344.847,56:07.8,62.2225,56:07.8,0.195674
56:07.9,344.844,56:07.9,62.3109,56:07.9,0.195072
56:08.0,344.889,56:08.0,62.3677,56:08.0,0.195207
56:08.1,344.841,56:08.1,62.3265,56:08.1,0.195209
56:08.2,344.96,56:08.2,62.4424,56:08.2,0.195774
56:08.3,344.987,56:08.3,62.3493,56:08.3,0.195481
56:08.4,344.861,56:08.4,62.4509,56:08.4,0.195271
56:08.5,344.928,56:08.5,62.3912,56:08.5,0.195559
56:08.6,344.8,56:08.6,62.4141,56:08.6,0.195668
56:08.7,344.81,56:08.7,62.4375,56:08.7,0.195409
56:08.8,344.825,56:08.8,62.278,56:08.8,0.195317
56:08.9,344.955,56:08.9,62.2201,56:08.9,0.195348
56:09.0,344.859,56:09.0,62.1945,56:09.0,0.195558
56:09.1,344.861,56:09.1,62.5146,56:09.1,0.195153
56:09.2,344.887,56:09.2,62.3234,56:09.2,0.195068
56:09.3,344.875,56:09.3,62.3057,56:09.3,0.195752
56:09.4,344.815,56:09.4,62.324,56:09.4,0.195497
56:09.5,344.941,56:09.5,62.3884,56:09.5,0.19512
56:09.6,344.802,56:09.6,62.2744,56:09.6,0.195512
56:09.7,344.898,56:09.7,62.3905,56:09.7,0.195663
56:09.8,344.893,56:09.8,62.2037,56:09.8,0.195475
56:09.9,344.822,56:09.9,62.4116,56:09.9,0.195036
56:10.0,344.726,56:10.0,62.2684,56:10.0,0.195182
56:10.1,344.859,56:10.1,62.2715,56:10.1,0.196059
56:10.2,344.887,56:10.2,62.2641,56:10.2,0.195393
56:10.3,344.902,56:10.3,62.4701,56:10.3,0.19517
56:10.4,345.004,56:10.4,62.425,56:10.4,0.195969
56:10.5,344.791,56:10.5,62.2606,56:10.5,0.195217
56:10.6,344.863,56:10.6,62.3479,56:10.6,0.195057
56:10.7,344.784,56:10.7,62.3303,56:10.7,0.19516
56:10.8,344.799,56:10.8,62.5099,56:10.8,0.19566
56:10.9,344.924,56:10.9,62.2286,56:10.9,0.195196
56:11.0,344.784,56:11.0,62.4061,56:11.0,0.195482
56:11.1,344.748,56:11.1,62.3188,56:11.1,0.195635
56:11.2,344.909,56:11.2,62.2668,56:11.2,0.195111
56:11.3,344.904,56:11.3,62.3403,56:11.3,0.195744
56:11.4,344.845,56:11.4,62.4155,56:11.4,0.195292
56:11.5,344.77,56:11.5,62.1524,56:11.5,0.195699
56:11.6,344.84,56:11.6,62.3913,56:11.6,0.1949
56:11.7,344.815,56:11.7,62.2617,56:11.7,0.195647
56:11.8,344.797,56:11.8,62.2402,56:11.8,0.195256
56:11.9,344.82,56:11.9,62.5853,56:11.9,0.195966
56:12.0,344.9,56:12.0,62.3204,56:12.0,0.195378
56:12.1,344.854,56:12.1,62.2564,56:12.1,0.19582
56:12.2,344.849,56:12.2,62.3042,56:12.2,0.195819
56:12.3,344.837,56:12.3,62.4209,56:12.3,0.195227
56:12.4,344.883,56:12.4,62.3867,56:12.4,0.195774
56:12.5,344.791,56:12.5,62.4363,56:12.5,0.195962
56:12.6,344.891,56:12.6,62.2661,56:12.6,0.195337
56:12.7,344.796,56:12.7,62.3124,56:12.7,0.195452
56:12.8,344.798,56:12.8,62.2231,56:12.8,0.195471
56:12.9,344.871,56:12.9,62.3314,56:12.9,0.195318
56:13.0,344.786,56:13.0,62.2883,56:13.0,0.19593
56:13.1,344.837,56:13.1,62.1611,56:13.1,0.196031
56:13.2,344.755,56:13.2,62.3082,56:13.2,0.195515
56:13.3,344.841,56:13.3,62.3578,56:13.3,0.19563
56:13.4,344.848,56:13.4,62.2339,56:13.4,0.196012
56:13.5,344.823,56:13.5,62.0722,56:13.5,0.195542
